Ticker,Return,Market Cap,Sector
MSFT,0.1637,1381.23,Technology
AAPL,0.086,1326.70,Technology
AMZN,0.3188,998.09,Consumer Cyclical
FB,0.1445,541.53,Communication Services
GOOG,0.0549,846.79,Communication Services
JNJ,-0.0103,386.07,Healthcare
BRK-B,-0.2277,361.37,Financial
V,0.0158,331.91,Financial
JPM,-0.3582,312.61,Financial
PG,-0.0985,288.88,Consumer Defensive
INTC,0.0402,267.88,Technology
UNH,-0.0137,287.44,Healthcare
MA,-0.0123,267.85,Financial
HD,-0.0123,266.90,Consumer Cyclical
VZ,-0.1189,230.01,Communication Services
NVDA,0.5344,207.37,Technology
T,-0.2354,226.46,Communication Services
DIS,-0.184,210.03,Communication Services
PFE,-0.0429,210.89,Healthcare
NFLX,0.3268,180.85,Communication Services
MRK,-0.1603,200.85,Healthcare
CSCO,-0.0638,193.06,Technology
XOM,-0.3608,190.21,Energy
ADBE,0.1681,183.52,Technology
BAC,-0.3566,200.87,Financial
PEP,-0.0453,184.12,Consumer Defensive
WMT,0.0462,175.13,Consumer Defensive
CMCSA,-0.1385,179.21,Communication Services
PYPL,0.3947,174.38,Financial
KO,-0.1864,181.24,Consumer Defensive
CVX,-0.2509,171.50,Energy
ABBV,0.0402,158.43,Healthcare
ABT,0.0531,162.47,Healthcare
CRM,0.0935,160.42,Technology
BMY,-0.053,140.01,Healthcare
MCD,-0.0668,141.86,Consumer Cyclical
TMO,0.0474,137.25,Healthcare
AMGN,-0.0607,132.99,Healthcare
COST,0.029,136.57,Consumer Defensive
MDT,-0.1651,131.30,Healthcare
LLY,0.1501,127.05,Healthcare
ACN,-0.0801,127.83,Technology
NKE,-0.0746,122.45,Consumer Cyclical
UNP,-0.0865,118.14,Industrials
ORCL,-0.0068,115.94,Technology
NEE,-0.0343,122.63,Utilities
AVGO,-0.1246,112.10,Technology
TXN,-0.1158,108.11,Technology
PM,-0.1721,114.16,Consumer Defensive
IBM,-0.1168,110.08,Technology
LIN,-0.1035,107.25,Basic Materials
AMT,0.0549,114.12,Real Estate
DHR,0.0311,103.06,Healthcare
C,-0.448,107.12,Financial
HON,-0.2137,105.24,Industrials
WFC,-0.5507,104.56,Financial
GILD,0.1287,95.16,Healthcare
QCOM,-0.108,89.02,Technology
SBUX,-0.1172,92.65,Consumer Cyclical
LMT,-0.0523,98.77,Industrials
LOW,0.0208,98.02,Consumer Cyclical
MMM,-0.1699,90.06,Industrials
FIS,-0.0211,84.94,Technology
RTX,-0.3625,98.29,Industrials
CVS,-0.1475,86.49,Healthcare
CHTR,0.0574,83.73,Communication Services
BLK,0.0211,81.74,Financial
SPGI,0.1421,77.77,Financial
INTU,0.098,73.72,Technology
NOW,0.3742,71.20,Technology
VRTX,0.3015,71.24,Healthcare
MDLZ,-0.0977,73.92,Consumer Defensive
BA,-0.5778,80.01,Industrials
ANTM,-0.0825,73.79,Healthcare
MO,-0.244,72.42,Consumer Defensive
CI,-0.0757,74.81,Healthcare
UPS,-0.1738,69.80,Industrials
BKNG,-0.2057,68.94,Consumer Cyclical
AMD,0.203,60.45,Technology
BDX,-0.1203,71.11,Healthcare
D,-0.0279,68.80,Utilities
CME,-0.1092,64.59,Financial
PLD,-0.0178,68.61,Real Estate
ISRG,-0.048,66.07,Healthcare
CAT,-0.2384,66.68,Industrials
ZTS,-0.0169,65.66,Healthcare
CCI,0.0988,70.09,Real Estate
TJX,-0.1253,65.46,Consumer Cyclical
SYK,-0.1229,62.86,Healthcare
AXP,-0.2824,65.67,Financial
DUK,-0.0875,62.49,Utilities
TGT,-0.0836,59.94,Consumer Defensive
FISV,-0.1012,60.61,Technology
CL,0.0277,61.67,Consumer Defensive
ADP,-0.209,62.58,Industrials
EQIX,0.1479,61.05,Real Estate
GS,-0.2175,64.00,Financial
SO,-0.1432,59.64,Utilities
ATVI,0.2299,53.76,Communication Services
GE,-0.4256,59.10,Industrials
BIIB,0.0263,54.15,Healthcare
GPN,-0.0318,53.40,Industrials
NEM,0.4511,47.95,Basic Materials
CSX,-0.0529,55.38,Industrials
APD,-0.0027,53.03,Basic Materials
ILMN,0.0692,54.81,Healthcare
AMAT,-0.1089,50.43,Technology
MMC,-0.062,53.73,Financial
ICE,0.0132,52.77,Financial
BSX,-0.2059,52.20,Healthcare
HUM,0.0761,53.45,Healthcare
MU,-0.1644,51.42,Technology
ECL,0.0389,52.93,Basic Materials
NOC,-0.0525,53.65,Industrials
COP,-0.3345,47.17,Energy
ITW,-0.0884,50.51,Industrials
MS,-0.215,51.61,Financial
CB,-0.2484,56.00,Financial
USB,-0.4446,51.87,Financial
KMB,0.0159,48.24,Consumer Defensive
SHW,-0.0107,48.38,Basic Materials
REGN,0.5178,58.09,Healthcare
EW,-0.0621,46.14,Healthcare
AON,-0.0784,46.47,Financial
PNC,-0.3447,50.72,Financial
DG,0.1475,46.82,Consumer Defensive
TFC,-0.4089,51.10,Financial
NSC,-0.1167,46.95,Industrials
DE,-0.1879,48.14,Industrials
BAX,0.0396,44.94,Healthcare
PGR,0.0322,44.76,Financial
ADSK,0.0672,44.49,Technology
ADI,-0.0655,40.82,Technology
MCO,0.0818,42.94,Financial
EL,-0.1372,42.79,Consumer Defensive
LHX,-0.088,43.44,Industrials
LRCX,-0.1069,38.57,Technology
WM,-0.132,41.49,Industrials
SCHW,-0.3097,41.12,Financial
AEP,-0.1664,41.99,Utilities
ROP,0.0362,39.61,Industrials
CNC,0.0313,38.88,Healthcare
TMUS,0.2216,37.43,Communication Services
GIS,0.1195,37.37,Consumer Defensive
DXCM,0.8527,32.98,Healthcare
DD,-0.2416,37.36,Basic Materials
EXC,-0.1917,37.13,Utilities
EA,0.1145,35.38,Communication Services
DLR,0.1342,38.34,Real Estate
PSX,-0.3137,34.86,Energy
SRE,-0.1827,35.87,Utilities
EMR,-0.2674,37.13,Industrials
ROST,-0.1936,35.50,Consumer Cyclical
EBAY,0.2033,33.78,Consumer Cyclical
ETN,-0.1694,35.15,Industrials
GD,-0.2142,34.75,Industrials
GM,-0.2902,33.53,Consumer Cyclical
SBAC,0.2032,34.94,Real Estate
XEL,-0.0491,33.58,Utilities
ALL,-0.1568,31.79,Financial
ORLY,-0.0759,31.22,Consumer Cyclical
EOG,-0.3758,30.01,Energy
KMI,-0.2721,30.43,Energy
WBA,-0.3284,31.32,Healthcare
BK,-0.3145,31.51,Financial
MSCI,0.309,27.35,Financial
CTSH,-0.1704,29.35,Technology
STZ,-0.0919,29.31,Consumer Defensive
COF,-0.4149,31.86,Financial
HCA,-0.2782,29.01,Healthcare
KLAC,-0.029,27.58,Technology
FDX,-0.2262,31.30,Industrials
VLO,-0.2987,27.51,Energy
